ACC=0.680479, f1_macro=0.676009, precision_macro=0.695858, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310441, ADJ_RAND_SCORE=0.301578
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.680479, f1_macro=0.676021, precision_macro=0.695878, recall_macro=0.698854, f1_micro=0.680479, precision_micro=0.680479, recall_micro=0.680479, NMI=0.310485, ADJ_RAND_SCORE=0.301592
ACC=0.681645, f1_macro=0.677031, precision_macro=0.696661, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310478, ADJ_RAND_SCORE=0.302717
ACC=0.681645, f1_macro=0.677031, precision_macro=0.696661, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310478, ADJ_RAND_SCORE=0.302717
ACC=0.681645, f1_macro=0.677043, precision_macro=0.696682, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310522, ADJ_RAND_SCORE=0.302731
ACC=0.681645, f1_macro=0.677043, precision_macro=0.696682, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310522, ADJ_RAND_SCORE=0.302731
ACC=0.681645, f1_macro=0.677031, precision_macro=0.696661, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310478, ADJ_RAND_SCORE=0.302717
ACC=0.681595, f1_macro=0.676982, precision_macro=0.696607, recall_macro=0.699561, f1_micro=0.681595, precision_micro=0.681595, recall_micro=0.681595, NMI=0.310418, ADJ_RAND_SCORE=0.302641
ACC=0.681645, f1_macro=0.677043, precision_macro=0.696682, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310522, ADJ_RAND_SCORE=0.302731
ACC=0.681645, f1_macro=0.677031, precision_macro=0.696661, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310478, ADJ_RAND_SCORE=0.302717
ACC=0.681595, f1_macro=0.676982, precision_macro=0.696607, recall_macro=0.699561, f1_micro=0.681595, precision_micro=0.681595, recall_micro=0.681595, NMI=0.310418, ADJ_RAND_SCORE=0.302641
ACC=0.681645, f1_macro=0.677031, precision_macro=0.696661, recall_macro=0.699604, f1_micro=0.681645, precision_micro=0.681645, recall_micro=0.681645, NMI=0.310478, ADJ_RAND_SCORE=0.302717
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.682913, f1_macro=0.678192, precision_macro=0.697789, recall_macro=0.700480, f1_micro=0.682913, precision_micro=0.682913, recall_micro=0.682913, NMI=0.311383, ADJ_RAND_SCORE=0.304248
ACC=0.683522, f1_macro=0.678836, precision_macro=0.698501, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312302, ADJ_RAND_SCORE=0.305238
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.683522, f1_macro=0.678848, precision_macro=0.698522, recall_macro=0.700958, f1_micro=0.683522, precision_micro=0.683522, recall_micro=0.683522, NMI=0.312345, ADJ_RAND_SCORE=0.305251
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684536, f1_macro=0.679702, precision_macro=0.699366, recall_macro=0.701503, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312334, ADJ_RAND_SCORE=0.306196
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684485, f1_macro=0.679665, precision_macro=0.699364, recall_macro=0.701422, f1_micro=0.684485, precision_micro=0.684485, recall_micro=0.684485, NMI=0.312249, ADJ_RAND_SCORE=0.306109
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
ACC=0.684536, f1_macro=0.679713, precision_macro=0.699356, recall_macro=0.701541, f1_micro=0.684536, precision_micro=0.684536, recall_micro=0.684536, NMI=0.312442, ADJ_RAND_SCORE=0.306231
